State,District,Market,Commodity,Variety,Arrival_Date,Min Price,Max Price,Modal Price
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,MCU 5,08-01-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,MCU 5,08-03-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,MCU 5,11-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,MCU 5,13-03-17,5365,5500,5400
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,MCU 5,04-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,MCU 5,06-04-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,MCU 5,07-04-17,6000,6100,6050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,MCU 5,09-04-17,6000,6100,6050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,MCU 5,24-06-17,5238,5350,5300
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,MCU 5,05-07-17,5200,5300,5250
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,09-01-17,4470,4600,4550
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,10-01-17,4444,4550,4500
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,11-01-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,24-01-17,5263,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,28-01-17,5714,5850,5800
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,29-01-17,5714,5850,5800
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,06-02-17,4500,4700,4600
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,07-02-17,4706,4850,4800
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,08-02-17,5263,5350,5300
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,09-02-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,14-02-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,15-02-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,17-02-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,28-02-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,01-03-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,02-03-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,03-03-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,04-03-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,05-03-17,6010,6100,6050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,06-03-17,5900,6000,5950
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,10-03-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,12-03-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,14-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,15-03-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,16-03-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,17-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,18-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,19-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,20-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,21-03-17,4737,4850,4800
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,22-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,23-03-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,24-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,25-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,26-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,27-03-17,6000,6100,6050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,28-03-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,29-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,31-03-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,02-04-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,03-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,05-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,08-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,10-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,11-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,12-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,13-04-17,6000,6100,6050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,14-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,16-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,17-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,18-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,19-04-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,20-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,21-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,22-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,23-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,24-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,25-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,26-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,27-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,28-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,29-04-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,01-05-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,04-05-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,06-05-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,07-05-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,21-05-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,22-05-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,23-05-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,24-05-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,26-05-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,27-05-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,28-05-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,31-05-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,01-06-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,02-06-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,03-06-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,04-06-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,05-06-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,06-06-17,5300,5400,5350
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,07-06-17,5000,5300,5200
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,09-06-17,5371,5500,5450
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,10-06-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,13-06-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,14-06-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,15-06-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,16-06-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,17-06-17,5000,5100,5050
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,18-06-17,5000,5200,5100
Andhra Pradesh,Cuddapah,Jammalamadugu,Cotton,Other,19-06-17,5000,5200,5100
